fotograma,captura_ms,estimacion_pose_ms,analisis_ms,renderizado_ms,despliegue_ms,total_ms
121,11.910,16.688,0.001,0.001,21.871,50.474
122,11.263,16.240,0.001,0.001,21.749,49.257
123,12.066,16.255,0.001,0.001,21.711,50.037
124,12.254,16.188,0.001,0.001,21.569,50.016
125,11.960,16.597,0.001,0.001,21.737,50.298
126,11.679,16.025,0.001,0.001,21.554,49.264
127,12.106,15.826,0.001,0.001,21.491,49.429
128,13.049,16.231,0.003,0.001,21.642,50.930
129,12.060,16.150,0.001,0.001,21.559,49.774
130,12.372,16.133,0.001,0.001,21.877,50.387
131,11.934,16.122,0.001,0.001,21.799,49.859
132,11.930,16.112,0.001,0.001,23.180,51.228
133,10.896,16.567,0.001,0.001,21.927,49.396
134,11.393,16.355,0.001,0.001,21.464,49.217
135,12.247,16.410,0.001,0.001,21.689,50.350
136,11.959,16.039,0.001,0.001,21.862,49.866
137,12.349,16.649,0.001,0.001,21.754,50.757
138,11.078,16.236,0.002,0.001,21.608,48.929
139,12.158,16.150,0.001,0.001,21.636,49.949
140,12.508,16.587,0.001,0.001,21.881,50.981
141,11.084,16.120,0.001,0.001,21.607,48.816
142,12.520,16.306,0.001,0.001,21.420,50.252
143,12.171,16.302,0.001,0.001,22.418,50.897
144,11.077,16.422,0.001,0.001,21.854,49.359
145,11.971,16.217,0.001,0.001,21.930,50.123
146,11.761,16.372,0.001,0.001,21.594,49.733
147,12.035,16.234,0.001,0.001,21.721,49.997
148,12.468,16.147,0.002,0.001,21.597,50.220
149,12.130,16.508,0.001,0.001,21.850,50.494
150,11.365,16.927,0.001,0.001,21.802,50.100
151,11.163,16.403,0.001,0.001,21.771,49.341
152,11.775,16.151,0.001,0.001,22.101,50.033
153,12.114,16.512,0.002,0.001,22.168,50.800
154,10.882,16.360,0.001,0.001,22.068,49.316
155,11.501,16.068,0.001,0.001,21.635,49.210
156,12.518,16.634,0.001,0.001,21.501,50.658
157,11.829,16.469,0.001,0.001,20.885,49.189
158,12.821,16.375,0.001,0.001,21.986,51.187
159,11.471,16.181,0.001,0.001,21.590,49.248
160,12.260,16.076,0.001,0.001,21.857,50.199
161,11.609,15.654,0.001,0.001,21.504,48.772
162,13.321,16.415,0.001,0.001,23.363,53.103
163,10.527,16.660,0.002,0.001,21.619,48.814
164,11.546,16.406,0.001,0.001,21.556,49.515
165,12.025,16.754,0.001,0.001,22.531,51.316
166,10.519,16.555,0.002,0.001,21.853,48.932
167,11.653,16.233,0.001,0.001,22.789,50.682
168,10.910,17.032,0.001,0.001,21.898,49.845
169,11.010,16.472,0.001,0.001,22.268,49.756
170,11.520,16.535,0.001,0.001,22.074,50.135
171,11.095,16.484,0.001,0.001,21.673,49.257
172,12.021,16.198,0.003,0.002,22.017,50.244
173,11.444,16.786,0.001,0.001,22.256,50.492
174,10.987,16.157,0.001,0.001,21.574,48.723
175,12.282,16.588,0.001,0.001,21.526,50.401
176,11.959,15.994,0.001,0.001,22.133,50.092
177,12.483,45.063,0.002,0.001,24.496,82.048
178,13.628,18.478,0.002,0.001,22.788,54.902
179,8.379,18.917,0.002,0.001,22.724,50.026
180,8.208,16.844,0.002,0.001,23.301,48.360
181,9.553,16.213,0.001,0.001,22.119,47.890
182,11.923,16.767,0.002,0.001,22.109,50.806
183,11.184,16.235,0.002,0.001,22.984,50.409
184,10.864,16.372,0.001,0.001,21.611,48.851
185,12.001,16.600,0.001,0.001,21.733,50.340
186,11.961,16.313,0.001,0.001,21.637,49.915
187,11.886,16.275,0.001,0.001,23.758,51.923
188,9.742,16.309,0.001,0.001,21.916,47.972
189,11.897,16.440,0.001,0.001,22.296,50.640
190,27.915,21.016,0.001,0.001,24.982,73.920
191,3.785,16.302,0.002,0.001,21.766,41.858
192,12.410,16.548,0.001,0.001,21.419,50.382
193,11.670,16.582,0.001,0.001,21.544,49.800
194,11.971,16.156,0.001,0.001,21.502,49.635
195,12.186,16.577,0.001,0.001,21.490,50.258
196,11.628,16.216,0.001,0.001,22.024,49.872
197,10.677,15.766,0.002,0.001,21.557,48.006
198,13.733,16.414,0.001,0.001,22.107,52.260
199,11.823,16.412,0.001,0.001,21.513,49.754
200,12.110,16.188,0.002,0.001,22.622,50.928
201,11.059,16.832,0.002,0.001,21.536,49.433
202,11.654,16.556,0.002,0.001,21.836,50.053
203,11.683,16.596,0.001,0.001,21.887,50.171
204,11.565,16.234,0.001,0.001,22.053,49.858
205,11.748,16.307,0.001,0.001,22.496,50.556
206,11.279,16.478,0.001,0.001,21.528,49.292
207,11.752,16.327,0.002,0.001,21.931,50.015
208,11.988,16.470,0.001,0.001,21.846,50.309
209,11.408,16.199,0.001,0.001,21.251,48.864
210,12.451,16.464,0.001,0.001,21.894,50.815
211,11.811,16.094,0.001,0.001,21.533,49.443
212,12.634,16.259,0.001,0.001,21.774,50.672
213,11.755,16.654,0.001,0.001,21.737,50.150
214,11.519,16.590,0.001,0.001,21.597,49.711
215,11.798,16.306,0.001,0.001,21.600,49.710
216,12.088,16.468,0.001,0.001,21.638,50.199
217,11.606,16.335,0.001,0.001,21.661,49.607
218,12.098,16.356,0.001,0.001,21.476,49.934
219,11.917,16.231,0.001,0.001,21.955,50.109
220,12.163,16.484,0.001,0.001,21.859,50.511
221,11.682,16.523,0.001,0.001,21.710,49.919
222,11.598,16.864,0.001,0.001,21.387,49.854
223,11.750,16.177,0.001,0.001,21.471,49.403
224,12.347,16.617,0.001,0.001,21.589,50.558
225,11.943,16.000,0.001,0.001,21.425,49.373
226,12.712,16.050,0.001,0.001,21.518,50.285
227,12.455,16.333,0.001,0.001,21.554,50.346
228,11.982,16.228,0.001,0.001,21.679,49.894
229,12.063,16.147,0.001,0.001,21.574,49.788
230,12.374,16.438,0.001,0.001,21.472,50.289
231,12.298,16.418,0.001,0.001,21.477,50.198
232,11.901,16.151,0.002,0.002,21.507,49.568
233,12.380,16.178,0.001,0.001,21.643,50.205
234,12.307,16.275,0.001,0.001,21.564,50.152
235,12.245,16.178,0.001,0.001,21.517,49.945
236,12.357,16.490,0.001,0.001,21.402,50.254
237,11.717,16.453,0.001,0.001,21.512,49.687
238,12.082,16.363,0.001,0.001,21.517,49.966
239,12.232,16.137,0.001,0.001,21.612,49.987
240,12.111,16.576,0.001,0.001,21.492,50.184
241,11.921,16.474,0.006,0.001,21.985,50.389
242,11.537,16.039,0.001,0.001,21.593,49.174
243,12.261,16.012,0.001,0.001,21.480,49.758
244,12.504,16.063,0.001,0.001,21.892,50.464
245,12.162,16.507,0.002,0.001,22.227,50.902
246,11.378,16.156,0.002,0.001,21.678,49.219
247,12.152,16.577,0.001,0.001,22.065,50.799
248,10.826,16.391,0.001,0.001,21.307,48.530
249,11.371,15.915,0.001,0.001,21.538,48.830
250,13.721,16.936,0.001,0.001,21.671,52.333
251,11.433,16.103,0.001,0.001,21.384,48.926
252,11.900,16.997,0.001,0.001,21.598,50.500
253,11.999,16.211,0.001,0.001,21.543,49.758
254,12.139,16.464,0.001,0.001,21.507,50.115
255,12.240,16.962,0.001,0.001,22.487,51.694
256,10.521,16.661,0.001,0.001,21.658,48.845
257,11.594,16.174,0.002,0.001,21.679,49.452
258,12.312,16.192,0.001,0.001,21.738,50.246
259,11.892,16.562,0.001,0.001,21.453,49.913
260,11.905,16.308,0.001,0.001,21.719,49.936
261,11.850,15.837,0.001,0.001,22.044,49.737
262,12.333,16.394,0.001,0.001,21.862,50.594
263,11.781,16.008,0.001,0.001,21.697,49.492
264,12.351,16.009,0.001,0.001,21.511,49.878
265,12.491,16.173,0.001,0.001,21.792,50.460
266,12.092,16.216,0.001,0.001,21.481,49.795
267,12.244,16.222,0.001,0.001,21.740,50.211
268,12.199,16.179,0.002,0.001,21.676,50.061
269,11.607,16.635,0.001,0.001,21.701,49.948
270,11.952,16.393,0.001,0.001,21.554,49.905
271,12.190,16.142,0.001,0.001,21.710,50.047
272,12.129,16.408,0.001,0.001,21.440,49.982
273,12.168,16.514,0.001,0.001,20.877,49.564
274,12.418,16.466,0.001,0.001,21.387,50.277
275,12.228,16.689,0.002,0.001,21.827,50.751
276,11.440,16.395,0.001,0.001,21.693,49.533
277,11.829,16.327,0.001,0.001,21.730,49.890
278,11.902,16.102,0.001,0.001,21.878,49.887
279,12.018,16.236,0.001,0.001,21.823,50.082
280,12.242,16.374,0.001,0.001,21.708,50.328
281,11.644,16.161,0.001,0.001,21.836,49.646
282,11.915,16.206,0.001,0.001,21.986,50.113
283,12.040,16.087,0.001,0.001,21.407,49.539
284,12.546,16.147,0.001,0.001,21.540,50.239
285,12.026,17.206,0.001,0.001,21.564,50.801
286,11.295,16.113,0.001,0.001,21.376,48.788
287,12.510,16.109,0.001,0.001,21.876,50.500
288,11.956,16.151,0.001,0.001,21.593,49.706
289,12.470,16.117,0.002,0.001,21.766,50.358
290,11.921,15.880,0.001,0.001,21.720,49.526
291,12.424,16.504,0.001,0.001,21.357,50.291
292,12.123,16.153,0.001,0.001,21.621,49.901
293,12.296,16.596,0.001,0.001,21.603,50.500
294,11.646,16.918,0.001,0.001,21.293,49.862
295,11.691,16.651,0.001,0.001,21.482,49.828
296,11.799,16.181,0.001,0.001,21.321,49.306
297,12.602,16.661,0.001,0.001,21.654,50.923
298,11.886,16.072,0.001,0.001,21.650,49.613
299,12.123,16.503,0.001,0.001,21.421,50.053
