fotograma,captura_ms,estimacion_pose_ms,analisis_ms,renderizado_ms,despliegue_ms,total_ms
0,6.597,18.248,0.004,0.003,349.461,374.322
1,2.693,21.890,0.005,0.002,3.747,28.345
2,0.943,17.986,0.005,0.003,3.661,22.603
3,1.028,22.144,0.004,0.002,3.382,26.563
4,0.785,17.914,0.004,0.002,3.385,22.094
5,0.850,16.709,0.004,0.002,3.304,20.873
6,0.751,16.406,0.003,0.002,3.414,20.581
7,0.852,18.031,0.003,0.002,3.577,22.469
8,0.849,17.998,0.005,0.003,3.407,22.268
9,0.883,18.884,0.004,0.002,3.432,23.209
10,0.950,16.880,0.004,0.002,3.449,21.289
11,0.831,16.174,0.004,0.002,3.426,20.443
12,0.843,16.793,0.004,0.002,3.351,20.998
13,0.829,15.992,0.004,0.002,3.424,20.256
14,0.927,17.948,0.004,0.002,3.537,22.425
15,0.869,18.792,0.006,0.002,3.731,23.407
16,1.166,18.828,0.005,0.002,3.528,23.537
17,0.936,16.711,0.004,0.002,3.597,21.256
18,1.040,16.900,0.031,0.002,3.435,21.414
19,0.911,17.433,0.003,0.002,3.326,21.680
20,0.985,17.682,0.004,0.002,3.439,22.147
21,0.924,17.311,0.004,0.002,3.351,21.594
22,0.914,16.573,0.004,0.002,3.506,21.003
23,0.840,16.449,0.003,0.002,3.396,20.693
24,0.760,16.625,0.004,0.002,3.331,20.739
25,0.833,16.102,0.003,0.002,3.371,20.315
26,0.743,18.571,0.003,0.002,3.293,22.615
27,0.834,18.247,0.003,0.002,3.318,22.407
28,0.717,16.888,0.004,0.002,3.454,21.070
29,0.856,17.141,0.003,0.002,3.357,21.365
30,0.811,17.870,0.003,0.002,3.376,22.066
31,0.861,17.160,0.004,0.002,3.361,21.394
32,0.833,17.014,0.004,0.002,3.340,21.199
33,0.964,17.493,0.004,0.002,3.599,22.067
34,0.923,16.893,0.005,0.002,3.279,21.105
35,0.925,18.399,0.006,0.003,3.700,23.058
36,1.050,22.889,0.004,0.001,3.382,27.332
37,0.888,17.471,0.004,0.002,3.320,21.688
38,0.800,19.855,0.003,0.002,3.348,24.012
39,0.975,17.758,0.004,0.002,4.653,23.398
40,1.020,19.126,0.005,0.002,3.495,23.655
41,1.016,16.999,0.005,0.002,3.500,21.528
42,1.240,16.996,0.004,0.002,3.352,21.598
43,0.934,17.745,0.004,0.002,3.410,22.101
44,0.846,17.074,0.014,0.002,3.406,21.346
45,0.888,16.965,0.003,0.002,3.473,21.335
46,0.855,19.724,0.006,0.002,3.501,24.092
47,0.943,16.976,0.003,0.002,3.273,21.201
48,0.899,17.837,0.003,0.002,3.167,21.912
49,0.932,17.269,0.004,0.002,3.235,21.447
50,1.022,16.256,0.004,0.002,3.223,20.512
51,0.920,18.931,0.004,0.002,3.412,23.275
52,1.008,24.806,0.005,0.002,3.431,29.261
53,0.904,17.836,0.005,0.002,3.429,22.182
54,0.924,18.573,0.004,0.002,3.262,22.769
55,0.906,16.735,0.003,0.002,3.320,20.970
56,0.759,16.819,0.004,0.002,3.286,20.874
57,0.841,17.139,0.003,0.002,3.246,21.235
58,0.796,16.687,0.018,0.002,3.282,20.790
59,0.831,17.737,0.003,0.002,3.214,21.789
