t_segundos,angulo_crudo,angulo_filtrado
0.031,136.86,136.86
0.230,151.30,144.08
15.857,174.09,174.09
15.923,177.78,175.93
15.990,177.78,176.55
16.057,177.25,176.73
16.123,173.65,176.11
16.190,173.10,175.91
16.257,172.31,174.82
16.323,176.55,174.57
16.390,172.09,173.54
16.457,175.39,173.89
16.523,176.60,174.59
16.590,175.88,175.30
16.657,179.69,175.93
16.723,179.47,177.41
16.790,175.63,177.46
16.856,174.53,177.04
16.923,172.95,176.46
16.990,175.92,175.70
17.056,174.01,174.61
17.123,174.05,174.29
17.190,176.39,174.66
17.257,179.75,176.02
17.323,176.90,176.22
17.390,179.96,177.41
17.456,178.12,178.23
17.523,175.74,178.10
17.589,173.60,176.87
17.656,178.25,177.14
17.723,176.95,176.53
17.789,176.64,176.24
17.856,174.76,176.04
17.922,177.59,176.84
17.989,178.70,176.93
18.056,178.72,177.28
18.122,174.32,176.82
18.189,174.16,176.70
18.256,171.26,175.43
18.323,169.73,173.64
18.389,169.23,171.74
18.456,166.97,170.27
18.522,165.34,168.51
18.589,170.59,168.37
18.656,170.34,168.50
18.722,173.28,169.31
18.789,175.28,170.97
18.855,175.29,172.96
18.922,179.21,174.68
18.989,178.12,176.24
19.055,177.45,177.07
19.122,168.94,175.80
19.189,166.23,173.99
19.255,176.51,173.45
19.322,177.16,173.26
19.389,175.99,172.97
19.455,177.57,174.69
19.522,177.30,176.91
19.589,178.51,177.31
19.655,175.30,176.93
19.722,176.86,177.11
19.789,175.40,176.67
19.855,176.67,176.55
19.922,178.99,176.65
19.988,178.56,177.30
20.055,178.48,177.62
20.121,179.38,178.42
20.188,178.38,178.76
20.255,178.38,178.64
20.322,178.38,178.60
20.388,178.50,178.60
20.455,179.29,178.58
20.522,178.59,178.63
20.588,178.48,178.65
20.655,178.97,178.77
20.721,178.97,178.86
20.788,179.78,178.96
20.855,179.78,179.20
20.921,178.37,179.17
20.988,179.17,179.22
21.055,179.17,179.26
21.121,179.78,179.26
21.188,179.78,179.26
21.254,179.17,179.42
21.321,179.07,179.40
21.388,179.87,179.54
21.454,179.98,179.58
21.521,179.21,179.46
21.588,179.21,179.47
21.654,176.73,179.00
21.721,176.00,178.23
21.788,175.91,177.41
21.854,8.28,143.23
21.921,22.14,111.81
21.987,1.35,76.74
22.054,37.60,49.06
22.121,9.38,15.75
22.187,5.19,15.13
22.254,6.41,11.99
22.321,1.31,11.98
22.387,92.86,23.03
22.454,9.46,23.05
22.521,0.00,22.01
22.587,3.56,21.44
22.654,1.68,21.51
22.720,0.47,3.04
22.787,16.35,4.41
22.854,4.28,5.27
22.920,33.48,11.25
22.987,42.18,19.35
23.054,91.91,37.64
23.120,51.84,44.74
23.187,58.47,55.58
23.254,1.61,49.20
23.320,1.22,41.01
23.387,25.27,27.68
23.453,4.40,18.19
23.520,31.29,12.76
23.586,41.27,20.69
23.653,47.22,29.89
23.720,1.01,25.04
23.787,12.39,26.64
23.853,3.16,21.01
23.920,11.04,14.96
23.986,43.85,14.29
24.053,54.07,24.90
24.120,91.72,40.77
24.186,91.01,58.34
24.253,100.67,76.26
24.320,85.24,84.54
24.386,24.29,78.58
24.453,10.87,62.41
24.520,2.20,44.65
24.587,0.69,24.66
24.653,0.79,7.77
24.720,3.37,3.58
24.786,24.70,6.35
24.853,63.96,18.70
24.919,57.53,30.07
24.986,4.40,30.79
25.053,47.49,39.62
25.120,94.17,53.51
25.186,95.04,59.73
25.253,99.25,68.07
25.319,68.75,80.94
25.386,30.63,77.57
25.453,44.48,67.63
25.519,20.45,52.71
25.586,20.12,36.89
25.653,17.26,26.59
25.719,4.46,21.35
25.786,2.08,12.87
25.853,21.37,13.06
25.919,10.06,11.05
25.986,6.07,8.81
26.053,5.86,9.09
26.119,5.71,9.81
26.186,7.13,6.96
26.253,10.06,6.96
26.319,5.84,6.92
26.386,7.20,7.19
26.452,9.10,7.87
26.519,29.05,12.25
26.586,19.08,14.05
26.652,14.30,15.75
26.719,35.54,21.41
26.785,6.52,20.90
26.852,10.42,17.17
26.919,1.03,13.56
26.985,41.10,18.92
27.052,42.84,20.38
27.118,27.90,24.66
27.185,1.87,22.95
27.252,0.57,22.86
27.318,5.40,15.72
27.385,0.52,7.25
27.452,44.36,10.54
27.518,0.00,10.17
27.585,6.31,11.32
27.651,4.91,11.22
27.718,6.87,12.49
27.785,6.89,5.00
27.852,0.70,5.13
27.919,6.74,5.22
27.985,12.24,6.69
28.051,11.63,7.64
28.118,11.58,8.58
28.185,11.89,10.82
28.252,6.97,10.86
28.319,9.69,10.35
28.385,3.39,8.70
28.451,6.55,7.70
28.518,9.46,7.21
28.585,11.36,8.09
28.618,11.58,8.47
28.685,1.69,8.13
28.752,11.63,9.15
28.818,11.31,9.52
28.886,16.31,10.51
28.952,16.36,11.46
29.018,31.33,17.39
29.084,14.30,17.92
29.152,5.86,16.83
29.219,5.91,14.75
29.285,6.34,12.75
29.352,6.92,7.86
29.418,12.99,7.60
29.485,5.44,7.52
29.551,2.06,6.75
29.618,1.36,5.76
29.685,6.81,5.73
29.752,21.80,7.50
29.818,2.66,6.94
29.885,39.56,14.44
29.952,5.31,15.23
30.018,22.17,18.30
30.084,4.93,14.93
30.152,25.99,19.59
30.218,0.80,11.84
30.284,1.48,11.07
30.351,2.83,7.21
30.418,10.55,8.33
30.484,42.60,11.65
30.551,33.69,18.23
30.617,18.83,21.70
30.684,23.30,25.79
30.750,17.32,27.15
30.817,18.62,22.35
30.884,30.77,21.77
30.951,20.94,22.19
31.018,42.76,26.08
31.084,37.06,30.03
31.151,29.74,32.25
31.218,66.61,39.42
31.284,87.06,52.65
31.551,3.07,3.07
31.618,3.68,3.37
31.684,5.64,4.13
31.751,14.75,6.78
31.818,6.22,6.67
31.884,0.79,6.22
31.950,2.77,6.03
32.017,3.07,5.52
32.084,0.53,2.68
32.150,3.85,2.20
32.217,1.19,2.28
32.283,1.40,2.01
