t_segundos,angulo_crudo,angulo_filtrado
32.350,6.12,2.62
32.417,0.79,2.67
32.483,1.80,2.26
32.550,4.76,2.97
32.617,5.40,3.77
32.684,24.44,7.44
32.750,3.55,7.99
32.817,5.82,8.80
32.883,10.46,9.94
32.950,13.64,11.58
33.017,7.98,8.29
33.083,14.84,10.55
33.150,22.86,13.96
33.216,24.76,16.82
33.283,31.37,20.36
33.350,60.46,30.86
33.416,49.18,37.73
33.483,51.07,43.37
33.550,64.82,51.38
33.616,33.59,51.83
33.683,36.63,47.06
33.749,60.29,49.28
33.816,51.12,49.29
33.883,75.26,51.38
33.950,46.33,53.93
34.016,160.67,78.73
34.083,176.18,101.91
34.150,75.27,106.74
34.216,80.08,107.71
34.283,69.79,112.40
34.349,53.97,91.06
34.416,92.33,74.29
34.616,93.34,93.34
35.882,157.99,157.99
35.949,157.94,157.97
36.016,161.78,159.24
36.082,162.00,159.93
36.149,156.44,159.23
36.216,153.51,158.33
36.283,157.54,158.25
36.349,158.95,157.69
36.416,159.43,157.17
36.482,155.16,156.92
36.549,152.60,156.74
36.616,72.27,139.68
36.683,63.43,120.58
36.749,69.64,102.62
36.815,74.89,86.57
36.882,107.21,77.49
36.949,146.95,92.42
37.015,73.75,94.49
37.081,87.01,97.96
37.148,88.73,100.73
37.215,85.93,96.47
37.281,94.26,85.94
37.347,59.46,83.08
37.415,56.73,77.02
37.482,82.75,75.82
37.548,73.77,73.39
37.615,89.14,72.37
37.682,63.03,73.08
37.748,126.66,87.07
37.815,50.37,80.59
37.881,44.23,74.68
37.948,43.83,65.62
38.015,62.39,65.50
38.081,72.14,54.59
38.147,92.98,63.11
38.214,107.57,75.78
38.281,134.70,93.96
38.347,154.69,112.42
38.414,155.69,129.13
38.480,161.81,142.89
38.547,158.85,153.15
38.614,158.42,157.89
38.680,159.49,158.85
38.747,158.11,159.34
38.813,161.05,159.18
38.880,163.50,160.11
38.947,161.26,160.68
39.014,159.61,160.71
39.080,160.86,161.26
39.147,160.56,161.16
39.214,160.48,160.55
39.280,156.06,159.51
39.347,159.34,159.46
39.413,158.34,158.95
39.480,156.95,158.23
39.546,155.96,157.33
39.613,155.12,157.14
39.680,157.90,156.85
39.746,156.48,156.48
39.813,153.88,155.87
39.880,155.33,155.74
39.946,162.02,157.12
40.013,154.94,156.53
40.080,155.87,156.41
40.146,158.21,157.27
40.213,158.08,157.83
40.280,151.35,155.69
40.346,14.19,127.54
40.413,81.44,112.65
40.479,95.75,100.16
40.546,32.97,75.14
40.613,171.26,79.12
40.680,168.03,109.89
40.746,179.72,129.55
40.813,178.03,146.00
40.879,34.61,146.33
40.946,17.78,115.63
41.013,17.59,85.55
41.079,46.30,58.86
41.146,56.52,34.56
41.213,75.12,42.66
41.279,107.86,60.68
41.346,146.16,86.39
41.412,158.59,108.85
41.479,160.21,129.59
41.546,159.23,146.41
41.612,160.00,156.84
41.679,160.63,159.73
41.746,162.53,160.52
41.812,161.70,160.82
41.879,161.39,161.25
41.946,15.76,132.40
42.012,48.95,110.06
42.079,36.87,84.93
42.145,35.75,59.74
42.212,156.47,58.76
42.279,20.87,59.78
42.345,171.74,84.34
44.145,54.81,54.81
44.211,53.78,54.30
44.278,54.46,54.35
44.344,178.95,85.50
44.877,157.47,157.47
44.944,157.35,157.41
45.011,166.00,160.27
45.078,178.08,164.72
45.144,14.45,134.67
45.211,85.91,120.36
45.644,136.59,136.59
49.209,24.31,24.31
49.276,8.50,16.41
50.942,2.48,2.48
